,spam,non-spam,quarantined,domain-blacklist,domain-whitelist,sender-whitelist,invalid-recipient,virus,sender-blacklist,bogus-mx,host-blacklist,bad-ext,host-whitelist,datekey
0,191487.0,139071.0,40772.0,20388.0,16872.0,13705.0,8392.0,3612.0,3005.0,2620.0,332.0,255.0,,20170910.0
1,55536.0,140956.0,26158.0,12507.0,15081.0,14363.0,7670.0,1911.0,2010.0,307.0,36.0,332.0,4.0,20171022.0
2,91440.0,115857.0,21003.0,7378.0,13488.0,14380.0,10972.0,330.0,1669.0,149.0,1.0,350.0,,20180114.0
3,52419.0,134222.0,18815.0,4627.0,19681.0,19889.0,10031.0,370.0,4091.0,64.0,,143.0,33.0,20180812.0
4,215158.0,132563.0,45100.0,15995.0,16079.0,14400.0,46503.0,520.0,1784.0,4827.0,317.0,12562.0,2.0,20170723
5,196374.0,138768.0,43114.0,11063.0,14620.0,14508.0,36166.0,635.0,1935.0,3877.0,200.0,27128.0,5.0,20170730
6,190261.0,125875.0,47340.0,13712.0,15095.0,12355.0,20847.0,1575.0,1809.0,4424.0,344.0,10657.0,2.0,20170806
7,193411.0,135079.0,47804.0,11341.0,17544.0,13338.0,17023.0,633.0,1692.0,4520.0,373.0,33839.0,7.0,20170813
8,159731.0,114877.0,40043.0,14290.0,18599.0,12366.0,7948.0,5715.0,2566.0,3330.0,281.0,8330.0,4.0,20170903
9,162346.0,147596.0,29631.0,15433.0,19220.0,20205.0,9052.0,1267.0,2479.0,2766.0,243.0,40337.0,,20170917
10,181447.0,133133.0,28584.0,17444.0,16722.0,14999.0,9079.0,661.0,2234.0,2322.0,133.0,44910.0,6.0,20170924
11,285322.0,143363.0,31605.0,15209.0,15989.0,13907.0,11295.0,1016.0,2554.0,2989.0,225.0,19788.0,,20171001
12,174337.0,136996.0,26133.0,13299.0,16064.0,13697.0,8793.0,3278.0,1931.0,929.0,111.0,13215.0,10.0,20171008
13,65485.0,142521.0,27686.0,16363.0,16286.0,14514.0,7199.0,2414.0,1939.0,593.0,59.0,3626.0,6.0,20171015
14,182695.0,140464.0,26856.0,16671.0,16117.0,14356.0,10720.0,7583.0,2076.0,433.0,14.0,1628.0,17.0,20171029
15,148594.0,123838.0,23616.0,8819.0,14376.0,13773.0,9298.0,1468.0,2155.0,409.0,14.0,192.0,2.0,20171105
16,42809.0,123586.0,23296.0,9913.0,16404.0,13706.0,5854.0,1450.0,2149.0,308.0,21.0,543.0,3.0,20171112
17,156313.0,94063.0,19329.0,8770.0,13326.0,13078.0,7148.0,299.0,1580.0,440.0,18.0,7350.0,17.0,20171119
18,37832.0,129410.0,25060.0,10528.0,17159.0,15512.0,6368.0,287.0,2446.0,142.0,13.0,6659.0,2.0,20171126
19,39330.0,126415.0,25485.0,6839.0,14580.0,13761.0,7143.0,1247.0,2175.0,49.0,1.0,7345.0,5.0,20171203
20,33042.0,122314.0,23553.0,9601.0,17926.0,13938.0,5646.0,3634.0,1898.0,63.0,2.0,76.0,1322.0,20171210
21,24548.0,118083.0,20110.0,10168.0,13311.0,14646.0,5610.0,412.0,1815.0,61.0,5.0,14938.0,2.0,20171217
22,20296.0,83534.0,12543.0,3770.0,8600.0,11225.0,4423.0,780.0,919.0,111.0,1.0,9811.0,,20171224
23,23502.0,109245.0,15704.0,7041.0,11671.0,12625.0,4199.0,208.0,1132.0,16.0,1.0,3.0,3.0,20171231
24,47817.0,140746.0,19120.0,946.0,23926.0,21134.0,7862.0,542.0,7117.0,99.0,,284.0,41.0,20180107
25,24557.0,119150.0,20996.0,4110.0,13319.0,15749.0,5313.0,353.0,1572.0,39.0,1.0,558.0,,20180121
26,126778.0,124830.0,20251.0,4807.0,15091.0,15171.0,10826.0,296.0,1528.0,248.0,2.0,317.0,,20180128
27,20586.0,119607.0,22411.0,4336.0,13442.0,15439.0,6304.0,333.0,1645.0,16.0,1.0,413.0,,20180204
28,22586.0,126242.0,22359.0,4382.0,14543.0,15870.0,5672.0,343.0,1981.0,29.0,1.0,316.0,1.0,20180211
29,24513.0,120392.0,21169.0,3737.0,14123.0,17342.0,6198.0,346.0,2806.0,36.0,4.0,287.0,1377.0,20180218
30,25075.0,126159.0,21360.0,2981.0,14742.0,17677.0,6334.0,322.0,3398.0,19.0,3.0,178.0,1.0,20180225
31,25397.0,127279.0,22563.0,2652.0,13582.0,18065.0,6261.0,262.0,4326.0,29.0,2.0,3201.0,2.0,20180304
32,23492.0,130189.0,21944.0,4597.0,17609.0,16216.0,6604.0,344.0,3749.0,29.0,2.0,536.0,1.0,20180311
33,21341.0,122537.0,21221.0,3081.0,19843.0,18688.0,5679.0,256.0,6510.0,18.0,1.0,302.0,1.0,20180318
34,19072.0,113696.0,20037.0,5298.0,16067.0,17976.0,6172.0,279.0,4112.0,28.0,2.0,778.0,26.0,20180325
35,21977.0,124573.0,20463.0,4163.0,14092.0,17315.0,7783.0,324.0,3754.0,55.0,1.0,1404.0,50.0,20180401
36,21377.0,120874.0,21024.0,6041.0,16171.0,17485.0,8191.0,380.0,3694.0,79.0,1.0,399.0,50.0,20180408
37,24627.0,122400.0,20896.0,4612.0,15476.0,17900.0,6867.0,328.0,3682.0,40.0,1.0,281.0,1451.0,20180415
38,25887.0,121371.0,22148.0,5228.0,16552.0,18023.0,7018.0,291.0,4222.0,69.0,1.0,708.0,55.0,20180422
39,26322.0,130797.0,21858.0,4586.0,16830.0,18289.0,7426.0,404.0,3034.0,62.0,2.0,1054.0,57.0,20180429
40,32434.0,128318.0,20752.0,6389.0,17738.0,19443.0,8483.0,289.0,4722.0,86.0,2.0,670.0,47.0,20180506
41,29741.0,127140.0,21160.0,5735.0,18297.0,18977.0,7013.0,301.0,2886.0,64.0,1.0,865.0,44.0,20180513
42,26312.0,122087.0,20060.0,6544.0,23562.0,19192.0,7235.0,308.0,3694.0,55.0,2.0,229.0,35.0,20180520
43,23678.0,115570.0,17736.0,4732.0,18439.0,16699.0,6417.0,302.0,2949.0,57.0,,436.0,45.0,20180527
44,30348.0,130526.0,19223.0,6980.0,23203.0,18119.0,7054.0,1761.0,4637.0,63.0,,733.0,1469.0,20180603
45,30349.0,126362.0,20249.0,4511.0,19923.0,18162.0,7088.0,369.0,4217.0,59.0,6.0,876.0,45.0,20180610
46,36459.0,123731.0,20185.0,4628.0,20730.0,19327.0,8167.0,284.0,4321.0,45.0,5.0,268.0,38.0,20180617
47,33366.0,133251.0,19908.0,4466.0,19229.0,20149.0,6472.0,284.0,4017.0,64.0,15.0,215.0,47.0,20180624
48,28295.0,109880.0,15485.0,4435.0,16311.0,16739.0,5248.0,311.0,3501.0,35.0,7.0,172.0,15.0,20180701
49,32254.0,135982.0,20102.0,3016.0,18548.0,19138.0,6789.0,400.0,4570.0,27.0,8.0,259.0,38.0,20180708
50,30963.0,132578.0,19742.0,4022.0,17641.0,20349.0,8197.0,400.0,5341.0,32.0,5.0,219.0,47.0,20180715
51,30160.0,128970.0,20801.0,2959.0,17654.0,20092.0,5788.0,291.0,5515.0,29.0,1.0,421.0,46.0,20180722
52,27137.0,132354.0,20774.0,3385.0,18332.0,20325.0,6017.0,544.0,4273.0,39.0,,214.0,1495.0,20180729
53,33643.0,120982.0,19059.0,5405.0,17713.0,18741.0,7776.0,317.0,3795.0,45.0,2.0,268.0,19.0,20180805
54,65055.0,133059.0,19167.0,3501.0,17825.0,19686.0,8549.0,311.0,4936.0,117.0,,71.0,30.0,20180819
55,33618.0,138347.0,20499.0,3285.0,19357.0,19425.0,6006.0,328.0,3540.0,112.0,,127.0,20.0,20180826
56,25545.0,127194.0,19749.0,2287.0,18045.0,17336.0,7079.0,371.0,3919.0,54.0,2.0,131.0,27.0,20180902
57,36690.0,137847.0,22565.0,1727.0,20371.0,19511.0,7454.0,524.0,8979.0,105.0,2.0,189.0,25.0,20180909
58,44702.0,134913.0,21314.0,2593.0,21251.0,20157.0,8753.0,707.0,5463.0,101.0,,196.0,18.0,20180916
59,54688.0,141790.0,20221.0,1603.0,20461.0,20708.0,10291.0,628.0,6510.0,85.0,,111.0,1513.0,20180923
60,47817.0,140746.0,19120.0,946.0,23926.0,21134.0,7862.0,542.0,7117.0,99.0,,284.0,41.0,20181007
61,56196.0,140690.0,20935.0,1071.0,21250.0,20593.0,9261.0,808.0,6078.0,70.0,,388.0,46.0,20181021
62,70754.0,143673.0,19767.0,1148.0,19457.0,20876.0,9667.0,861.0,6328.0,74.0,3.0,113.0,69.0,20181028
63,103921.0,144149.0,20487.0,1637.0,19913.0,20752.0,15796.0,1190.0,5522.0,213.0,1.0,201.0,47.0,20181104
64,115346.0,145458.0,20615.0,1946.0,19459.0,20860.0,21772.0,1554.0,5331.0,295.0,6.0,866.0,75.0,20181111
65,124373.0,113879.0,16664.0,1491.0,16835.0,17319.0,18075.0,1940.0,4864.0,235.0,,538.0,1567.0,20181118
66,131837.0,149246.0,21544.0,1250.0,21642.0,23626.0,21769.0,2042.0,7130.0,289.0,1.0,270.0,72.0,20181125
